"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264"
"a.10",0,0,16,77,40,9,0,0,0,0,0,0,0,16,79,43,13,0,0,0,0,0,0,0,13,53,35,11,0,0,0,0,0,0,0,11,35,27,12,0,0,0,0,0,0,0,11,33,25,10,0,0,0,0,0,0,0,11,29,30,9,0,0,0,0,0,0,0,9,25,26,9,0,0,0,0,0,0,0,10,25,38,11,0,0,0,0,0,0,0,10,27,40,12,0,0,0,0,0,0,0,8,24,39,11,0,0,0,0,0,0,0,14,52,165,37,0,0,0,0,0,0,0,13,78,350,60,0,0,0,0,0,0,0,12,50,205,37,0,0,0,0,0,0,0,10,33,118,24,0,0,0,0,0,0,0,10,24,88,21,0,0,0,0,0,0,0,11,22,72,17,0,0,0,0,0,0,0,10,22,67,22,0,0,0,0,0,0,0,10,19,63,23,0,0,0,0,0,0,0,10,18,49,17,0,0,0,0,0,0,0,9,18,45,17,0,0,0,0,0,0,0,8,17,46,21,0,0,0,0,0,0,0,11,18,42,19,0,0,0,0,0,0,0,10,16,37,17,0,0,0,0,0,0,0,10,15,38,21,0,0,0,0,0
"a.11",0,0,0,0,10,7,8,0,0,0,0,0,0,0,0,22,31,8,0,0,0,0,0,0,0,0,31,56,15,0,0,0,0,0,0,0,0,32,65,15,0,0,0,0,0,0,0,0,28,67,17,0,0,0,0,0,0,0,0,28,65,17,0,0,0,0,0,0,0,0,20,51,15,0,0,0,0,0,0,0,0,18,39,13,0,0,0,0,0,0,0,0,19,40,16,0,0,0,0,0,0,0,0,16,39,15,0,0,0,0,0,0,0,0,19,52,22,0,0,0,0,0,0,0,0,16,57,20,0,0,0,0,0,0,0,0,20,55,23,0,0,0,0,0,0,0,0,15,47,21,0,0,0,0,0,0,0,0,16,42,21,0,0,0,0,0,0,0,0,14,39,20,0,0,0,0,0,0,0,0,17,62,40,0,0,0,0,0,0,0,0,15,65,37,0,0,0,0,0,0,0,0,12,44,23,0,0,0,0,0,0,0,0,13,30,18,0,0,0,0,0,0,0,0,13,30,23,0,0,0,0,0,0,0,0,14,27,19,0,0,0,0,0,0,0,0,16,28,20,0,0,0,0,0,0,0,0,14,25,20,0,0,0,0
"a.12",0,0,0,10,11,11,9,0,0,0,0,0,0,0,21,77,29,12,0,0,0,0,0,0,0,28,136,102,24,0,0,0,0,0,0,0,19,94,128,24,0,0,0,0,0,0,0,15,58,71,17,0,0,0,0,0,0,0,16,52,47,13,0,0,0,0,0,0,0,18,62,41,14,0,0,0,0,0,0,0,16,59,33,11,0,0,0,0,0,0,0,16,47,28,12,0,0,0,0,0,0,0,13,39,28,11,0,0,0,0,0,0,0,17,36,24,13,0,0,0,0,0,0,0,21,57,31,11,0,0,0,0,0,0,0,19,62,25,12,0,0,0,0,0,0,0,18,46,22,13,0,0,0,0,0,0,0,17,37,22,12,0,0,0,0,0,0,0,12,33,20,13,0,0,0,0,0,0,0,16,37,20,9,0,0,0,0,0,0,0,21,43,19,12,0,0,0,0,0,0,0,16,34,19,11,0,0,0,0,0,0,0,16,33,17,12,0,0,0,0,0,0,0,18,40,19,12,0,0,0,0,0,0,0,19,43,17,8,0,0,0,0,0,0,0,17,34,17,11,0,0,0,0,0,0,0,14,30,15,9,0,0,0,0
"a.13",0,0,0,0,0,0,17,51,14,9,0,0,0,0,0,0,0,62,119,21,10,0,0,0,0,0,0,0,76,138,23,8,0,0,0,0,0,0,0,46,96,26,10,0,0,0,0,0,0,0,26,60,21,7,0,0,0,0,0,0,0,23,46,20,10,0,0,0,0,0,0,0,18,43,21,9,0,0,0,0,0,0,0,18,41,25,11,0,0,0,0,0,0,0,18,42,31,12,0,0,0,0,0,0,0,16,39,30,12,0,0,0,0,0,0,0,15,32,24,10,0,0,0,0,0,0,0,15,35,39,11,0,0,0,0,0,0,0,14,34,52,14,0,0,0,0,0,0,0,14,32,45,13,0,0,0,0,0,0,0,13,26,33,10,0,0,0,0,0,0,0,12,25,35,13,0,0,0,0,0,0,0,14,29,67,21,0,0,0,0,0,0,0,11,27,74,24,0,0,0,0,0,0,0,12,24,54,21,0,0,0,0,0,0,0,13,21,43,19,0,0,0,0,0,0,0,12,22,63,28,0,0,0,0,0,0,0,10,20,70,37,0,0,0,0,0,0,0,13,19,57,36,0,0,0,0,0,0,0,12,17,46,31,0
"a.14",0,0,0,0,0,11,24,51,0,0,0,0,0,0,0,0,13,47,78,0,0,0,0,0,0,0,0,10,34,51,0,0,0,0,0,0,0,0,9,25,35,0,0,0,0,0,0,0,0,10,24,37,0,0,0,0,0,0,0,0,14,42,64,0,0,0,0,0,0,0,0,13,61,83,0,0,0,0,0,0,0,0,11,51,67,0,0,0,0,0,0,0,0,10,35,46,0,0,0,0,0,0,0,0,11,32,40,0,0,0,0,0,0,0,0,12,45,53,0,0,0,0,0,0,0,0,12,45,54,0,0,0,0,0,0,0,0,11,36,38,0,0,0,0,0,0,0,0,10,29,35,0,0,0,0,0,0,0,0,13,52,65,0,0,0,0,0,0,0,0,18,109,104,0,0,0,0,0,0,0,0,13,82,79,0,0,0,0,0,0,0,0,13,59,57,0,0,0,0,0,0,0,0,15,72,71,0,0,0,0,0,0,0,0,14,67,60,0,0,0,0,0,0,0,0,11,55,47,0,0,0,0,0,0,0,0,12,50,42,0,0,0,0,0,0,0,0,17,83,69,0,0,0,0,0,0,0,0,15,114,77,0,0,0
"a.15",0,0,0,0,14,24,16,10,0,9,9,0,0,0,0,20,87,22,8,0,10,8,0,0,0,0,20,81,29,10,0,10,10,0,0,0,0,19,86,29,10,0,10,9,0,0,0,0,15,59,21,10,0,9,9,0,0,0,0,13,40,19,9,0,10,9,0,0,0,0,12,35,17,10,0,9,10,0,0,0,0,11,31,17,10,0,11,9,0,0,0,0,12,33,24,11,0,9,10,0,0,0,0,19,111,106,17,0,9,11,0,0,0,0,18,138,90,11,0,10,9,0,0,0,0,14,82,61,12,0,10,9,0,0,0,0,15,83,80,13,0,12,8,0,0,0,0,13,84,77,12,0,11,15,0,0,0,0,13,66,57,14,0,15,18,0,0,0,0,15,53,47,13,0,20,19,0,0,0,0,12,42,38,10,0,15,14,0,0,0,0,13,38,40,11,0,11,12,0,0,0,0,11,46,69,13,0,12,12,0,0,0,0,11,46,66,13,0,12,12,0,0,0,0,10,38,53,11,0,13,10,0,0,0,0,10,32,43,12,0,12,12,0,0,0,0,10,31,43,13,0,15,12,0,0,0,0,9,27,37,12,0,13,9
"a.16",0,0,0,18,30,12,0,0,0,0,0,0,0,0,32,76,14,0,0,0,0,0,0,0,0,24,54,14,0,0,0,0,0,0,0,0,18,43,16,0,0,0,0,0,0,0,0,16,34,13,0,0,0,0,0,0,0,0,15,31,13,0,0,0,0,0,0,0,0,12,24,12,0,0,0,0,0,0,0,0,11,22,10,0,0,0,0,0,0,0,0,13,20,12,0,0,0,0,0,0,0,0,11,20,13,0,0,0,0,0,0,0,0,12,21,15,0,0,0,0,0,0,0,0,11,30,22,0,0,0,0,0,0,0,0,11,28,19,0,0,0,0,0,0,0,0,12,20,17,0,0,0,0,0,0,0,0,11,18,12,0,0,0,0,0,0,0,0,10,16,16,0,0,0,0,0,0,0,0,10,14,14,0,0,0,0,0,0,0,0,9,16,12,0,0,0,0,0,0,0,0,11,15,10,0,0,0,0,0,0,0,0,9,13,12,0,0,0,0,0,0,0,0,11,13,10,0,0,0,0,0,0,0,0,10,14,12,0,0,0,0,0,0,0,0,8,14,11,0,0,0,0,0,0,0,0,11,13,12,0,0,0,0,0
"a.17",0,0,0,8,8,10,0,0,0,0,0,0,0,0,10,9,10,0,0,0,0,0,0,0,0,8,9,10,0,0,0,0,0,0,0,0,10,9,8,0,0,0,0,0,0,0,0,8,10,10,0,0,0,0,0,0,0,0,8,8,10,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,9,9,10,0,0,0,0,0,0,0,0,9,11,10,0,0,0,0,0,0,0,0,10,9,9,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,10,10,8,0,0,0,0,0,0,0,0,10,11,10,0,0,0,0,0,0,0,0,65,91,18,0,0,0,0,0,0,0,0,77,136,23,0,0,0,0,0,0,0,0,51,94,18,0,0,0,0,0,0,0,0,32,63,15,0,0,0,0,0,0,0,0,37,80,21,0,0,0,0,0,0,0,0,34,89,19,0,0,0,0,0,0,0,0,34,90,23,0,0,0,0,0,0,0,0,26,73,19,0,0,0,0,0,0,0,0,23,53,16,0,0,0,0,0,0,0,0,20,44,14,0,0,0,0,0,0,0,0,20,46,16,0,0,0,0,0
"a.18",0,0,0,0,0,0,11,11,8,0,0,0,0,0,0,0,0,50,51,14,0,0,0,0,0,0,0,0,38,47,12,0,0,0,0,0,0,0,0,33,60,16,0,0,0,0,0,0,0,0,29,51,13,0,0,0,0,0,0,0,0,21,33,11,0,0,0,0,0,0,0,0,19,26,9,0,0,0,0,0,0,0,0,20,31,13,0,0,0,0,0,0,0,0,23,63,18,0,0,0,0,0,0,0,0,20,48,14,0,0,0,0,0,0,0,0,16,33,14,0,0,0,0,0,0,0,0,16,30,14,0,0,0,0,0,0,0,0,14,28,13,0,0,0,0,0,0,0,0,27,135,46,0,0,0,0,0,0,0,0,22,109,37,0,0,0,0,0,0,0,0,21,97,41,0,0,0,0,0,0,0,0,19,102,44,0,0,0,0,0,0,0,0,20,84,41,0,0,0,0,0,0,0,0,16,57,29,0,0,0,0,0,0,0,0,12,42,23,0,0,0,0,0,0,0,0,14,34,22,0,0,0,0,0,0,0,0,14,36,25,0,0,0,0,0,0,0,0,12,34,26,0,0,0,0,0,0,0,0,13,31,22,0,0
"a.19",0,0,0,0,17,60,29,9,0,0,0,0,0,0,0,26,173,79,13,0,0,0,0,0,0,0,17,106,52,13,0,0,0,0,0,0,0,18,66,67,18,0,0,0,0,0,0,0,11,54,70,19,0,0,0,0,0,0,0,14,48,59,18,0,0,0,0,0,0,0,12,41,46,16,0,0,0,0,0,0,0,14,36,38,15,0,0,0,0,0,0,0,11,29,30,13,0,0,0,0,0,0,0,11,29,32,14,0,0,0,0,0,0,0,11,31,41,13,0,0,0,0,0,0,0,11,29,38,13,0,0,0,0,0,0,0,12,26,32,15,0,0,0,0,0,0,0,12,27,46,12,0,0,0,0,0,0,0,14,60,180,29,0,0,0,0,0,0,0,11,57,184,39,0,0,0,0,0,0,0,11,39,118,30,0,0,0,0,0,0,0,11,30,75,22,0,0,0,0,0,0,0,11,28,72,18,0,0,0,0,0,0,0,11,27,83,25,0,0,0,0,0,0,0,13,24,66,25,0,0,0,0,0,0,0,11,23,66,26,0,0,0,0,0,0,0,11,24,72,34,0,0,0,0,0,0,0,10,20,56,29,0,0,0
"a.20",0,0,0,0,0,0,16,20,10,0,0,0,0,0,0,0,0,58,127,20,0,0,0,0,0,0,0,0,45,97,16,0,0,0,0,0,0,0,0,34,76,14,0,0,0,0,0,0,0,0,25,51,11,0,0,0,0,0,0,0,0,27,56,14,0,0,0,0,0,0,0,0,28,59,16,0,0,0,0,0,0,0,0,42,118,23,0,0,0,0,0,0,0,0,40,131,21,0,0,0,0,0,0,0,0,67,248,39,0,0,0,0,0,0,0,0,82,344,45,0,0,0,0,0,0,0,0,55,235,31,0,0,0,0,0,0,0,0,39,151,23,0,0,0,0,0,0,0,0,33,121,21,0,0,0,0,0,0,0,0,31,103,19,0,0,0,0,0,0,0,0,26,83,18,0,0,0,0,0,0,0,0,25,70,16,0,0,0,0,0,0,0,0,22,60,16,0,0,0,0,0,0,0,0,22,59,15,0,0,0,0,0,0,0,0,19,50,16,0,0,0,0,0,0,0,0,18,47,13,0,0,0,0,0,0,0,0,19,38,14,0,0,0,0,0,0,0,0,17,38,12,0,0,0,0,0,0,0,0,16,34,13,0,0
"a.21",0,0,13,50,64,49,19,0,0,0,0,0,0,16,84,92,43,18,0,0,0,0,0,0,12,52,52,25,12,0,0,0,0,0,0,11,36,34,19,12,0,0,0,0,0,0,10,31,34,15,11,0,0,0,0,0,0,12,38,42,14,10,0,0,0,0,0,0,12,33,41,14,9,0,0,0,0,0,0,9,39,56,17,10,0,0,0,0,0,0,12,43,68,19,9,0,0,0,0,0,0,11,36,57,18,11,0,0,0,0,0,0,11,28,48,14,10,0,0,0,0,0,0,9,28,45,13,10,0,0,0,0,0,0,10,24,44,13,11,0,0,0,0,0,0,11,25,57,18,11,0,0,0,0,0,0,9,21,47,17,8,0,0,0,0,0,0,9,20,38,14,9,0,0,0,0,0,0,10,19,41,14,9,0,0,0,0,0,0,9,20,53,19,10,0,0,0,0,0,0,10,18,49,17,10,0,0,0,0,0,0,9,17,41,15,11,0,0,0,0,0,0,12,15,37,21,11,0,0,0,0,0,0,9,22,78,40,12,0,0,0,0,0,0,10,22,118,61,12,0,0,0,0,0,0,10,17,77,38,12,0,0,0,0
"a.22",0,0,11,11,10,0,0,0,0,0,0,0,0,18,52,16,0,0,0,0,0,0,0,0,16,41,13,0,0,0,0,0,0,0,0,23,67,15,0,0,0,0,0,0,0,0,17,43,13,0,0,0,0,0,0,0,0,16,40,12,0,0,0,0,0,0,0,0,15,32,11,0,0,0,0,0,0,0,0,48,129,27,0,0,0,0,0,0,0,0,68,211,31,0,0,0,0,0,0,0,0,59,179,29,0,0,0,0,0,0,0,0,45,127,23,0,0,0,0,0,0,0,0,43,110,20,0,0,0,0,0,0,0,0,62,162,26,0,0,0,0,0,0,0,0,45,116,18,0,0,0,0,0,0,0,0,34,82,16,0,0,0,0,0,0,0,0,28,68,16,0,0,0,0,0,0,0,0,24,55,11,0,0,0,0,0,0,0,0,22,50,12,0,0,0,0,0,0,0,0,25,51,13,0,0,0,0,0,0,0,0,24,53,14,0,0,0,0,0,0,0,0,27,49,14,0,0,0,0,0,0,0,0,26,47,13,0,0,0,0,0,0,0,0,32,58,13,0,0,0,0,0,0,0,0,42,72,15,0,0,0,0,0,0
